sport,game_id,a_team,h_team,last_mod_score,quarter,secs,a_pts,h_pts,status,a_win,h_win,last_mod_to_start,last_mod_lines,num_markets,a_odds_ml,h_odds_ml,a_deci_ml,h_deci_ml,a_odds_ps,h_odds_ps,a_deci_ps,h_deci_ps,a_hcap_ps,h_hcap_ps,a_odds_tot,h_odds_tot,a_deci_tot,h_deci_tot,a_hcap_tot,h_hcap_tot,game_start_time
BASK,3875353,Houston Rockets , Phoenix Suns,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-68164769,1549263835231,60,-420,310,1.238,4.1,-110,-110,1.909091,1.909091,-8.5,8.5,-110,-110,1.909091,1.909091,230,230,1549332000000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-62764481,1549263835519,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60964481,1549263835519,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-71730181,1549263869819,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60929942,1549263870058,60,-190,165,1.526316,2.65,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60944550,1549263855450,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-62694542,1549263905458,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875328,Atlanta Hawks , Washington Wizards,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60913392,1549263886608,60,200,-240,3,1.416667,-105,-115,1.952381,1.87,6,-6,-105,-115,1.952381,1.87,233,233,1549324800000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-62650755,1549263949245,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-62621751,1549263978249,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60629643,1549264170357,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875327,Denver Nuggets , Detroit Pistons,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-60570441,1549264229559,60,-200,170,1.5,2.7,-115,-105,1.87,1.952381,-4.5,4.5,-115,-105,1.87,1.952381,209,209,1549324800000
BASK,3875349,San Antonio Spurs , Sacramento Kings,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-71332891,1549264267109,58,-130,110,1.77,2.1,-110,-110,1.909091,1.909091,-2,2,-115,-105,1.87,1.952381,227,227,1549335600000
BASK,3875332,Milwaukee Bucks , Brooklyn Nets,2019-01-25T15:59:02-0500,0,-1,0,0,0,0,0,-62298855,1549264301145,62,-310,255,1.322581,3.55,-110,-110,1.909091,1.909091,-7.5,7.5,-115,-105,1.87,1.952381,227,227,1549326600000
